old_spec	req	scen	lines	disposition	primary_target	confidence	evidence	reviewer	note	product_hits	nonproduct_hits	score	band
id-resolution	2	11	60	SPLIT	components/entity/user	medium	1 of 2 requirements is a pure code-layering convention (OUT); the NotFound-response requirement is genuinely cross-cutting across many usecases with no single vocabulary target			100	0	100	KEEP?
identity-management	23	74	904	SPLIT	components/infrastructure/ui/hosted-login/route/login	low	Of 23 reqs: 18 are Pulumi/Zitadel IaC provisioning with no product actor (OUT:runbook); 3 (login policy, login branding, OIDC token lifetimes) are fan-observable but have no vocabulary route/component for the Zitadel-hosted login UI (NEEDS_HUMAN); 2 KEEP (SMTP activation -> infrastructure/email, login translation -> infrastructure/locale)		cloud-provisioning/docs/runbooks/zitadel-identity.md	422	166	256	REVIEW
infra	2	2	24	OUT:design-doc		high	Both requirements are Kustomize/ArgoCD conventions for KEDA-managed Deployment replica counts; no fan/organizer/admin observes any of it		cloud-provisioning/docs/decisions/keda-replica-management.md	2	8	-6	OUT?
intel	1	1	19	NEEDS_HUMAN		low	crawling/extraction capability likely underlies ConcertUseCase.SearchNewConcerts but the intel CLI's relationship to that RPC is unconfirmed from this spec alone			6	0	6	KEEP?
interaction-feedback	6	16	134	NEEDS_HUMAN	components/infrastructure/ui/fan/route/dashboard	low	Cross-cutting app-wide feedback primitives; two requirements (press acknowledgement, haptics) have no matching vocabulary target and are NEEDS_HUMAN.			27	0	27	KEEP?
interceptor-chain-ordering	2	4	58	OUT:design-doc		high	Both requirements define backend Connect-RPC interceptor registration order and its documentation; no fan/organizer/admin observes any of it		backend/docs/interceptor-ordering.md (or inline code comments per requirement 2)	9	0	9	KEEP?
jetstream-consumer-reliability	9	17	154	SPLIT		high	all 9 reqs govern JetStream consumer naming, fan-out topology, liveness probes, autoscaling, and stream ownership; entirely backend messaging-infra reliability with no fan/organizer/admin actor		backend/docs/design/jetstream-consumer-reliability.md (operational-flavored reqs -> cloud-provisioning/docs/runbooks/jetstream-consumer-reliability.md: backlog-stall alert, subscription-failure-fails-loud, liveness probe, scale-to-zero)	40	2	38	KEEP?
journey-status-presentation	3	7	49	KEEP	components/infrastructure/ui/fan/route/dashboard	medium	Canonical map/icon/hue requirements primarily surface on dashboard filter chips; no matching ui/global surface exists in vocabulary			13	0	13	KEEP?
k8s-resource-right-sizing	2	10	60	OUT:runbook		high	both reqs set dev-environment CPU/memory request sizing and autoscaler replica caps; purely operational cost/capacity policy, no user actor		cloud-provisioning/docs/runbooks/k8s-resource-right-sizing.md	6	26	-20	OUT?
k8s-service-cross-namespace-routing	6	9	62	OUT:runbook		high	all 6 requirements are Kubernetes Service/Gateway networking config; no fan/organizer actor		cloud-provisioning/docs/runbooks/k8s-cross-namespace-routing.md	0	14	-14	OUT?
landing-page	11	29	241	KEEP	components/infrastructure/ui/fan/route/welcome	high	all 11 requirements describe the landing/welcome route ('/')			160	0	160	KEEP?
layout-assertions	6	22	125	SPLIT		high	All 6 requirements govern the E2E/layout test suite's own selectors and assertions, not product behavior		frontend/e2e (test conventions, no dedicated doc)	40	12	28	REVIEW
legal-documents	7	12	104	SPLIT	components/infrastructure/ui/fan/route/legal	high	routing/auth/localization structure targets route/legal (4 reqs); document content requirements (Privacy Policy, ToS, OSS Licenses disclosures) target the shared legal-document component (3 reqs)			83	0	83	KEEP?
live-events	9	31	220	SPLIT	components/entity/concert	medium	7/9 reqs map to entity (Concert/Event data model, Venue embedding) or usecase (list-by-follower-grouped, artist/create, concert/list-by-artist) targets, plus one locale infra proposal; 2 reqs (Proto VO Consistency, Go field rename) are internal data-representation/refactor conventions with no user actor		backend/docs/design/live-events.md (OUT-portion: Proto Value Object Consistency, Go Entity Field Name Alignment)	274	0	274	KEEP?
loading-spinner-ce	1	6	42	KEEP	components/infrastructure/ui/fan/global/loading-spinner	high	Single requirement maps directly to frontend/src/components/loading-spinner			6	3	3	REVIEW
localstorage-naming	3	5	39	OUT:lint		high	All 3 reqs are localStorage key naming/registry conventions; no user actor (one req also carries a one-time HISTORIC legacy-key removal with no value migration)		frontend/AGENTS.md (localStorage key naming convention)	27	1	26	KEEP?
logo-color-analysis	5	17	89	SPLIT	components/usecase/artist/sync-artist-image	medium	3 of 5 requirements KEEP (2 onto usecase/artist/sync-artist-image, 1 onto entity/artist for the LogoColorProfile proto message); sRGB->OKLCH conversion is OUT (pure math utility); Frontend Background Color Derivation has no matching ui/global surface for event-card artist-hue		No fitting vocabulary surface for the frontend event-card background-color derivation step	63	8	55	KEEP?
lottery-application	9	24	225	KEEP	components/usecase/lottery-application/run-draw	high	All 9 reqs describe the lottery capability's organizer-configuration route, fan-apply/withdraw/results usecases, the automated draw usecase (run-draw, most common KEEP target), and the TicketApplication entity's identity-binding invariant			215	0	215	KEEP?
m3-design-tokens	5	13	114	NEEDS_HUMAN		high	all 5 requirements are design-token/style rules explicitly excluded by the migration Purpose statement		frontend/docs/design/m3-tokens.md	2	5	-3	OUT?
migration-rebase-guard	3	7	63	OUT:runbook		high	All 3 reqs describe a developer-tooling migration-drift check script and its Claude Code PostToolUse hook integration; no user actor		backend/docs/runbooks/migration-drift-guard.md	23	0	23	KEEP?
modern-css-platform	21	44	297	OUT:design-doc		high	all 21 reqs mandate a specific CSS/JS platform API or authoring convention, enforced by stylelint; no requirement names a user-observable product contract distinct from the implementation choice		frontend/docs/design/modern-css-platform.md	73	32	41	OUT?(plan)
my-artists	6	16	143	KEEP	components/infrastructure/ui/fan/route/my-artists	high	5 of 6 requirements describe the My Artists route (guest hype persistence, view toggle, grid view, help content, table headers); 1 (default hype tier for new follows) targets FollowUseCase.Follow			139	0	139	KEEP?
nearby-proximity	3	11	85	SPLIT	components/entity/proximity	high	2/3 reqs map to the Proximity entity method and UserUseCase.UpdateHome; 1 req mandates unit-test coverage for an internal function with no user actor		backend/docs/design/nearby-proximity.md (OUT-portion: Centroid Resolution Unit Coverage is a test-coverage/lint mandate)	79	0	79	KEEP?
non-blocking-menu-navigation	6	11	78	NEEDS_HUMAN	components/infrastructure/ui/fan/global/bottom-nav-bar	medium	1 of 6 requirements KEEPs onto the dashboard route (data-ready side effects); 2 are OUT (loading()/AbortController implementation detail); 3 cross-route router-behavior requirements (My Artists/Dashboard/Discovery) have no single fitting vocabulary target		Cross-route requirements need a vocabulary decision (per-route duplication vs a new router/navigation surface)	22	0	22	KEEP?
notification-lifecycle	8	14	100	SPLIT	components/entity/notification	medium	3/8 reqs map to Notification entity and NotificationUseCase.Notify/MarkRead; 5 reqs are telemetry (product-analytics emission), operational logging, or internal producer/id-propagation wiring with no distinct user-facing behavior		backend/docs/design/notification-lifecycle.md (OUT-portion: producer routing, id propagation; runbook-portion: zero-recipient logging -> cloud-provisioning/docs/runbooks/notification-lifecycle.md; analytics reqs are telemetry)	163	0	163	KEEP?
official-site-search	2	8	65	KEEP	components/usecase/artist/create-official-site	high	both requirements describe ArtistUseCase.CreateOfficialSite (MusicBrainz URL resolution feeding async persistence triggered on follow)			53	0	53	KEEP?
onboarding-celebration	2	9	75	KEEP	components/infrastructure/ui/fan/global/celebration-overlay	high	both requirements describe the celebration-overlay global component			27	21	6	REVIEW
onboarding-guidance	5	10	76	SPLIT	components/infrastructure/ui/fan/route/discovery	high	4 of 5 requirements KEEP (3 onto the discovery route, 1 onto the dna-orb global component); the z-index requirement is OUT (CSS anti-pattern, mirrors css-linting)		z-index requirement -> frontend/stylelint.config.js (existing tool config)	77	1	76	KEEP?
onboarding-page-help	8	19	184	KEEP	components/infrastructure/ui/fan/global/page-help	high	All eight requirements describe the page-help global component's fan-facing behavior.			138	10	128	KEEP?
onboarding-popover-guide	1	7	47	KEEP	components/infrastructure/ui/fan/route/discovery	high	its single requirement closes entirely within the discover route			16	1	15	KEEP?
onboarding-spotlight	11	27	233	KEEP	components/infrastructure/ui/fan/global/coach-mark	high	All 11 requirements describe the shared <coach-mark> overlay component (frontend/src/components/coach-mark)			64	14	50	REVIEW
onboarding-tutorial	1	1	16	KEEP	components/infrastructure/ui/fan/global/coach-mark	high	1/1 requirement is coach-mark navigation behavior, a shared global surface used across onboarding routes		-	3	0	3	REVIEW
organizer-accounts	7	19	200	SPLIT	components/usecase/organizer/create	high	6/7 reqs map cleanly to OrganizerUseCase methods (create, associate-artist, list, reconcile-provisioning, deactivate) or a proposed first-sign-in story; 1 req (analytics events) is a telemetry cross-cutting concern with no observing actor		backend/docs/design/organizer-accounts.md (OUT-portion: Organizer lifecycle emits analytics events)	233	0	233	KEEP?
organizer-console	4	9	119	SPLIT	stories/sign-in-as-organizer	low	2 OUT:design-doc (bundle/config architecture) + 1 KEEP (org-pinned sign-in story) + 1 NEEDS_HUMAN (cross-route route guard has no vocabulary fit)		organizer console bundle/config detail -> frontend/docs/design/organizer-console.md	63	0	63	KEEP?
organizer-console-hosting	2	2	37	OUT:runbook		medium	Both requirements are HTTPRoute/cert/DNS/config.json deployment infra for the organizer console host, not organizer-facing product behavior; Pass 0 hinted KEEP but decision tree points to infra.		cloud-provisioning/docs/runbooks/organizer-console-hosting.md	36	2	34	KEEP?
organizer-event-authoring	10	30	346	KEEP	components/usecase/concert/publish	high	all 10 requirements KEEP; publish is the most common target (4 of 10)			447	0	447	KEEP?
organizer-rpc-server	4	14	157	SPLIT	components/usecase/organizer/get	medium	2 of 4 requirements KEEP cleanly onto OrganizerUseCase.Get and .ListArtists; server-isolation/CORS requirement is OUT; org-scoped authorization spans both usecases with no single fitting target		Dedicated-server isolation requirement -> cloud-provisioning/docs/decisions/organizer-rpc-server.md	152	1	151	KEEP?
organizer-tenancy	5	12	241	SPLIT	components/infrastructure/ui/hosted-login/route/login	low	4 of 5 reqs are Zitadel IaC scaffolding (project, apps, provisioner machine user, key lifecycle) with no directly observed organizer feature (OUT:runbook); 1 (passkey-primary login policy) is organizer-observable but has no vocabulary target for the Zitadel-hosted organizer login screen		cloud-provisioning/docs/runbooks/organizer-tenancy.md	106	8	98	KEEP?
otel-collector-deployment	7	14	113	OUT:runbook		high	All seven requirements are Kubernetes/telemetry deployment infra with no user actor.		cloud-provisioning/docs/runbooks/otel-collector.md	15	26	-11	OUT?
otel-sdk-configuration	4	7	59	OUT:design-doc		high	All 4 requirements configure the backend OTel SDK (sampler, resource, propagator, MeterProvider) — telemetry cross-cutting, no user actor		backend design doc for OTel SDK setup	0	0	0	REVIEW
page-header-ce	6	10	68	KEEP	components/infrastructure/ui/fan/global/page-header	high	6/6 requirements describe the shared page-header global surface used across routes		-	60	2	58	KEEP?
passion-level	7	27	226	SPLIT	components/usecase/follow/set-hype	medium	hype tiers -> entity/follow; SetHype auth/persistence/API -> usecase/follow/set-hype (3 reqs, overlapping); ListFollowed -> usecase/follow/list-followed; dashboard card visuals -> ui/global/live-highway; one requirement (pre-migration hype preservation) is DROP:historic			222	4	218	KEEP?
passive-concert-discovery	8	29	219	KEEP	components/infrastructure/ui/fan/route/dashboard	high	8/8 requirements are Dashboard-route behavior (All Nearby mode toggle, filters, list, follow CTA)		-	213	1	212	KEEP?
post-signup-dialog	7	23	198	KEEP	components/infrastructure/ui/fan/global/post-signup-dialog	high	6 of 7 reqs directly describe the post-signup-dialog global surface (display rules, open timing, i18n, footer state, sequencing, PWA-install fallback); 1 describes the pwa-install-banner's beforeinstallprompt listener timing that the dialog also depends on			95	8	87	KEEP?
private-google-access	3	5	54	OUT:runbook		high	All three requirements are GCP networking/DNS infra with no fan or organizer actor.		cloud-provisioning/docs/runbooks/private-google-access.md	6	5	1	REVIEW
prod-environment-bootstrap	15	44	297	SPLIT		high	15 provisioning requirements for liverty-music-prod GCP/GKE (irreversible cluster decisions + peripheral resources); no fan/organizer/admin observes any of it		cloud-provisioning/docs/decisions/prod-environment-bootstrap.md (design-doc items); cloud-provisioning/docs/runbooks/prod-environment-bootstrap.md (runbook items)	52	117	-65	OUT?
prod-image-pipeline	12	49	376	SPLIT		high	11 of 12 requirements are CI/deploy/IAM mechanics with no user actor; 1 OUT:design-doc (bundle env-agnosticism)		cloud-provisioning/docs/runbooks/prod-image-pipeline.md	127	202	-75	OUT?
prod-image-tag-immutability	4	17	138	OUT:runbook		high	all 4 requirements are GCP Artifact Registry / kustomize / k8s-label provisioning policy; no user actor		cloud-provisioning/docs/runbooks/prod-image-tag-pinning.md	14	80	-66	OUT?
prod-k8s-manifests	6	15	111	SPLIT		high	6 requirements define the prod ArgoCD Application set, Kustomize overlay scope, Gateway static-IP binding, and PodMonitoring opt-in; no fan/organizer/admin observes any of it		cloud-provisioning/docs/decisions/prod-k8s-manifests.md	6	112	-106	OUT?
product-analytics	14	40	292	SPLIT		high	All 14 requirements govern the PostHog analytics pipeline (platform choice, event naming/catalogue process, SDK config, replay privacy) — internal instrumentation, not product behavior a fan/organizer observes		docs/analytics/event-catalog.md (process items) plus a design-doc for SDK/pipeline choices	354	4	350	KEEP?
prompt-timing	8	18	173	SPLIT	components/infrastructure/ui/fan/global/notification-prompt	medium	governs eligibility/priority of two global prompts: notification-prompt (6 reqs) and pwa-install-banner (2 reqs)			131	0	131	KEEP?
proximity-model	3	9	75	SPLIT	components/entity/concert	high	Proximity enum and Concert.ProximityTo are entity invariants (KEEP); the underlying Haversine math utility is a generic implementation helper (OUT)			59	0	59	KEEP?
pulumi-state-recovery	1	3	32	OUT:runbook		high	Spec is entirely the operator runbook content itself for cloud-provisioning		cloud-provisioning/docs/runbooks/pulumi-state-recovery.md	12	19	-7	OUT?
push-notification-localization	2	7	52	KEEP	components/usecase/push-subscription/notify-new-concerts	high	both reqs describe user-facing push notification content localized to the recipient's preferred language, mapping to a locale infra proposal and PushNotificationUseCase.NotifyNewConcerts			64	0	64	KEEP?
push-notification-service	13	40	330	SPLIT	components/usecase/push-subscription/notify-new-concerts	high	11 KEEP (entity, create/get/delete, notify-new-concerts x4, settings route x2, service-worker) + 2 OUT:design-doc (repository interface, consumer adapter architecture)		backend/docs/design/push-notification-internals.md	357	0	357	KEEP?
pwa-install-banner	8	29	240	KEEP	components/infrastructure/ui/fan/global/pwa-install-banner	high	all 8 requirements describe the pwa-install-banner component's visibility, CTA, dismiss, and accessibility behavior			42	3	39	KEEP?
pwa-update-lifecycle	6	13	120	KEEP	components/infrastructure/service-worker/update-lifecycle	high	4 of 6 requirements are SW registration/lifecycle mechanics (service-worker kind); 2 describe the user-visible update Snack (ui/global/snack-bar)			45	0	45	KEEP?
rpc-auth-scoping	3	7	60	SPLIT	components/entity/user	low	1 of 3 requirements is OUT (internal JWT-match helper location convention); the 2 user_id-convention requirements are cross-cutting over every per-user RPC handler with no single usecase/route target		Cross-cutting RPC-auth convention needs a vocabulary decision (e.g. a dedicated adapter/interceptor kind)	35	0	35	KEEP?
sales-phase	7	13	117	SPLIT	components/entity/sales-phase	high	6/7 reqs are SalesPhase entity invariants or SalesPhaseDiscoveryUseCase.DiscoverForArtist reconciliation/persistence rules; 1 req (database schema) is an implementation-level table layout with no user actor		backend/docs/design/sales-phase.md (OUT-portion: SalesPhase Database Schema)	64	1	63	KEEP?
sales-phase-discovery	6	15	117	KEEP	components/usecase/sales-phase/discover-for-artist	medium	5 of 6 requirements map to SalesPhaseDiscoveryUseCase.DiscoverForArtist; the announcement requirement maps to AnnounceDiscoveredPhase			84	0	84	KEEP?
sales-reminders	6	14	112	KEEP	components/usecase/sales-phase/scan-due-reminders	high	4 of 6 requirements describe SalesReminderUseCase.ScanDueReminders (stage scan, audience, once-only dedup, quiet hours); 2 describe SalesReminderDeliveryUseCase.DeliverReminder (payload content, web push delivery)			83	0	83	KEEP?
schema-lint	10	19	114	SPLIT		high	9 of 10 requirements are schema.sql linter rules (banned types, audit columns, comment coverage, CI/Makefile wiring); 1 duplicates the Makefile-integration requirement		backend/docs/schema-lint.md (or scripts/lint-schema.sh header comment)	3	5	-2	OUT?
search-follow-absorption	1	3	35	KEEP	components/infrastructure/ui/fan/route/discovery	high	The single req describes the discovery route's bubble-view transition and absorption animation when a user follows from search results			48	0	48	KEEP?
secret-management	8	18	149	OUT:runbook		high	All 8 reqs describe GCP Secret Manager provisioning, ESO/ClusterSecretStore wiring, and secret rotation for backend pods; no user actor		cloud-provisioning/docs/runbooks/secret-management.md	0	76	-76	OUT?
semantic-dom	4	7	67	SPLIT		high	All four requirements are markup/architecture conventions (semantic elements, div nesting, bottom-sheet/toast consolidation) with no fan-observable difference; two are OUT:lint, two OUT:design-doc.		frontend/docs/conventions/semantic-dom.md	21	7	14	REVIEW
settings	21	53	424	KEEP	components/infrastructure/ui/fan/route/settings	high	19 of 21 requirements describe the single Settings route; 2 (My Home Area Preference, Home Area Selected-State Indicator) describe the shared user-home-selector dialog			258	1	257	KEEP?
shell-layout	4	13	92	KEEP	components/infrastructure/ui/fan/global/app-shell	medium	2 of 4 requirements KEEP onto the dashboard route (semantic HTML, live-highway elimination); the two app-shell-level CSS Grid/scroll-containment requirements have no matching 'app-shell' surface in vocabulary		App-shell-level requirements need a vocabulary decision (new global surface vs folding into each route)	79	5	74	KEEP?
signup-prompt-banner	5	18	136	KEEP	components/infrastructure/ui/fan/global/signup-prompt-banner	high	5 KEEPs, tied 2/2 between global/signup-prompt-banner and route/dashboard; global banner chosen as primary since it is the spec's namesake component			95	3	92	KEEP?
state-management	10	41	271	SPLIT	components/usecase/follow/follow	medium	8/10 reqs describe internal Aurelia service implementation (DI singletons, @observable, localStorage keys/serialization) with no distinct product contract; 2 reqs (FollowServiceClient, ConcertServiceClient) mirror real backend usecases (follow/follow, concert/search-new-concerts) that a fan observes		frontend/docs/design/state-management.md (OUT-portion: OnboardingService/GuestService/GuestFollow/persistence/hydration/OnboardingStep are implementation detail; Single DI access path is a lint rule)	224	0	224	KEEP?
state-transition-diagram	3	14	117	SPLIT	components/infrastructure/ui/fan/global/coach-mark	medium	coach-mark maps to the ui/global/coach-mark component; onboarding-latch and guest-data-bag both span multiple routes and are proposed as stories (stories/complete-onboarding, stories/accumulate-guest-data-before-signup)			95	1	94	KEEP?
storybook-component-testing	6	16	92	SPLIT		high	5 of 6 requirements are CI pipeline mechanics; 1 OUT:lint (authoring convention); no user actor in any		frontend/docs/testing/storybook.md	0	18	-18	OUT?
tap-press-feedback	5	11	70	OUT:lint	-	low	5/5 requirements are cross-cutting :active press-cue CSS conventions, treated like cube-css styling rules; genuinely unsure whether this deserves KEEP as a UX-quality requirement instead		frontend CSS interaction-feedback conventions doc	23	3	20	KEEP?
ticket-journey	13	31	245	NEEDS_HUMAN	components/entity/ticket-journey	medium	"Entity + 3 usecase methods map cleanly to vocabulary; 8 ""Ticket Status"" UI requirements (EventDetailSheet) have no matching components/infrastructure/ui/global/<surface> entry — needs a new vocabulary entry (e.g. event-detail-sheet or ticket-status) in Pass 2"			250	0	250	KEEP?
ticket-purchase-and-issuance	9	18	230	NEEDS_HUMAN	components/entity/order	low	Of 9 reqs: 2 map cleanly to Order/Ticket entity invariants; 3 are legal/architecture design-doc statements (settlement-and-payout delegation, 収納代行 scheme, PCI SAQ A scope); 4 describe issuance/refund usecase behavior (idempotent issuance, post-capture reconciliation, refund taxonomy, the trigger itself) with no matching usecase target - vocabulary has no order/ticket-issuance usecase family yet			216	0	216	KEEP?
toast-ce	1	6	47	KEEP	components/infrastructure/ui/fan/global/toast	high	the single requirement matches the existing frontend/src/components/toast global UI surface exactly			17	4	13	REVIEW
typography-focused-dashboard	1	11	80	KEEP	components/infrastructure/ui/fan/global/live-highway	high	single requirement describing the three-lane Live Highway layout maps directly to the live-highway component			34	8	26	REVIEW
unified-check-interface	2	23	144	OUT:delete		high	Both requirements are cross-repo Makefile/CI target-wiring mechanics with no lasting product value		repo-root Makefile / CI workflow YAML (mechanics only, no doc)	2	53	-51	OUT?
usecase-test-coverage	8	30	218	NEEDS_HUMAN	components/usecase/artist/sync-artist-image	high	all 8 requirements are backend unit-test coverage inventory per the spec Purpose; no user actor		backend test-coverage inventory (discard from openspec)	131	0	131	KEEP?
user-account-sync	1	5	58	KEEP	components/usecase/user/create	medium	its single requirement is the idempotent resolve-or-provision contract of UserUseCase.Create, bundled with frontend localStorage caching scenarios (SPLIT-CANDIDATE)			66	0	66	KEEP?
user-auth	3	10	96	SPLIT	stories/sign-up-or-sign-in	medium	2 KEEPs proposed as distinct stories (sign-up-or-sign-in, restore-session-on-cold-start), 1 OUT:design-doc (session-monitoring CSP incompatibility)			44	0	44	KEEP?
user-home	7	32	264	SPLIT	components/infrastructure/ui/fan/global/user-home-selector	medium	splits across the User entity, three UserService usecases (create/update-home/get), a cross-route home-persistence story, and the user-home-selector component (2 reqs, most common target)			275	4	271	KEEP?
user-language-preference	7	24	198	SPLIT	components/infrastructure/locale/language-resolution	medium	3 KEEPs split across entity/user, usecase/user/create, usecase/user/update-preferred-language, and 2 KEEPs sharing locale/language-resolution (most common); 1 DROP:duplicate, 1 OUT:lint			103	1	102	KEEP?
user-profile-hydration	9	16	160	SPLIT	components/infrastructure/locale/preferred-language-sync	medium	3 of 9 requirements are locale-sync behavior (KEEP, locale infra kind); the remaining 6 describe internal UserService hydration/caching orchestration (OUT)			71	0	71	KEEP?
venue-name-cache	2	5	46	KEEP	components/usecase/concert/create-from-discovered	medium	venue-listed-name lookup feeds ConcertCreationUseCase.CreateFromDiscovered; the unique-index requirement is a venue entity invariant			18	0	18	KEEP?
venue-name-localization	1	5	46	KEEP	components/infrastructure/locale/venue-name-display	medium	its single requirement is a locale-driven display rule			61	0	61	KEEP?
venue-normalization	6	21	189	SPLIT	components/usecase/concert/create-from-discovered	medium	5 KEEP (4 under create-from-discovered, 1 under approve) + 1 OUT:design-doc (constructor guard)		cloud-provisioning n/a; OUT req is an implementation-level DI guard with no user actor	134	0	134	KEEP?
watermill-structured-logging	2	3	26	OUT:design-doc		high	Both requirements are backend logging-infrastructure technology decisions (Watermill slog adapter), no user actor		backend design doc for logging	0	4	-4	OUT?
web-push-delivery-alerting	2	3	27	OUT:runbook		high	both reqs are Cloud Monitoring alerts on delivery-failure ratio and subscription starvation; purely operational, no user actor		cloud-provisioning/docs/runbooks/web-push-delivery-alerting.md	9	0	9	KEEP?
welcome-dashboard-preview	1	6	54	KEEP	components/infrastructure/ui/fan/route/welcome	high	The single requirement (with 6 scenarios) matches the /welcome route in vocabulary			56	0	56	KEEP?
workload-naming-convention	5	9	113	SPLIT		high	all 5 reqs establish a Kubernetes/GCP resource naming convention and its migration procedure; no fan/organizer/admin actor observes internal resource names		cloud-provisioning/docs/design/workload-naming-convention.md (migration-procedure req -> cloud-provisioning/docs/runbooks/workload-naming-convention.md: additive rename sequence)	76	12	64	OUT?(plan)
zitadel-action-webhook	3	8	91	NEEDS_HUMAN		medium	all 3 requirements are backend Zitadel Actions v2 webhook auth/network plumbing; no fan/organizer/admin actor observes it		backend design docs (e.g. backend/docs/design/zitadel-webhook.md); network-topology portion could instead go to a cloud-provisioning runbook	26	1	25	KEEP?
zitadel-observability	5	15	143	OUT:runbook	-	high	5/5 requirements are Cloud Monitoring alerts/dashboards/CronJob/runbook for the self-hosted Zitadel incident, no user actor		cloud-provisioning/docs/runbooks/zitadel-hang.md	26	26	0	REVIEW
zitadel-self-hosted-deployment	20	67	692	SPLIT	-	high	20/20 requirements are OUT (12 design-doc, 7 runbook, 1 lint); self-hosted Zitadel K8s/Pulumi deployment shape has no fan/organizer actor		cloud-provisioning/docs/design/zitadel-self-hosted-deployment.md	153	246	-93	OUT?
